seed,bits,h,budget_params,sep_nmse,comp_nmse,sep_val_acc,comp_val_acc,sep_pass,comp_pass,sep_code_bits,comp_code_bits,sep_scales,comp_scales,selected_sep,selected_comp,sep_test_acc,comp_test_acc
31005,3,8,2048,0.3640324673641774,0.17035654036330936,0.9296296238899231,0.9629629850387573,False,False,6208,6176,4,2,False,False,,
31005,3,12,3072,0.287863299057857,0.1282300030935012,0.9407407641410828,0.9555555582046509,False,False,9280,9248,4,2,False,False,,
31005,3,16,4096,0.19620955644037688,0.12746063931810556,0.9518518447875977,0.970370352268219,False,False,12352,12320,4,2,False,False,,
31005,3,24,6144,0.12621039615119262,0.14043594092836975,0.970370352268219,0.970370352268219,False,False,18496,18464,4,2,False,False,,
31006,3,2,512,0.7636174103427295,0.5895834894943607,0.4407407343387604,0.5888888835906982,False,False,1600,1568,4,2,False,False,,
31006,3,4,1024,0.5715952334049499,0.3024720750915103,0.6703703999519348,0.8888888955116272,False,False,3136,3104,4,2,False,False,,
31006,3,6,1536,0.8472274578622107,0.18824932908740322,0.7814815044403076,0.9518518447875977,False,False,4672,4640,4,2,False,False,,
31006,3,8,2048,0.3723447041271947,0.1400937610583348,0.8777777552604675,0.9518518447875977,False,False,6208,6176,4,2,False,False,,
31006,3,12,3072,0.23790606113551366,0.14277408813417478,0.9407407641410828,0.9592592716217041,False,False,9280,9248,4,2,False,False,,
31006,3,16,4096,0.21598775633685408,0.12426219234766198,0.9518518447875977,0.9666666388511658,False,False,12352,12320,4,2,False,False,,
31006,3,24,6144,0.1323232884212839,0.11589204671236679,0.9666666388511658,0.9777777791023254,False,False,18496,18464,4,2,False,False,,
31007,3,2,512,0.8420413245369253,0.6473515708101617,0.3740740716457367,0.6592592597007751,False,False,1600,1568,4,2,False,False,,
31007,3,4,1024,0.807990733694526,0.31995365136616966,0.5259259343147278,0.9370370507240295,False,False,3136,3104,4,2,False,False,,
31007,3,6,1536,0.7328444399385142,0.23708350495912509,0.8148148059844971,0.9518518447875977,False,False,4672,4640,4,2,False,False,,
31007,3,8,2048,0.49703357623985206,0.16018927830683397,0.8481481671333313,0.9592592716217041,False,False,6208,6176,4,2,False,False,,
31007,3,12,3072,0.22014796831202205,0.1260387594511,0.9296296238899231,0.9629629850387573,False,False,9280,9248,4,2,False,False,,
